# CIE1988photopic
# Eye response table
# Wavelength(nm)	Factor
738	0.000289200000000000
739	0.000268500000000000
740	0.000249200000000000
741	0.000231300000000000
742	0.000214700000000000
743	0.000199300000000000
744	0.000185000000000000
745	0.000171900000000000
746	0.000159800000000000
747	0.000148600000000000
748	0.000138300000000000
749	0.000128800000000000
750	0.000120000000000000
751	0.000111900000000000
752	0.000104300000000000
753	9.73400000000000e-05
754	9.08500000000000e-05
755	8.48000000000000e-05
756	7.91500000000000e-05
757	7.38600000000000e-05
758	6.89200000000000e-05
759	6.43000000000000e-05
760	6.00000000000000e-05
761	5.59800000000000e-05
762	5.22300000000000e-05
763	4.87200000000000e-05
764	4.54500000000000e-05
765	4.24000000000000e-05
766	3.95600000000000e-05
767	3.69200000000000e-05
768	3.44500000000000e-05
769	3.21500000000000e-05
770	3.00000000000000e-05
771	2.79900000000000e-05
772	2.61100000000000e-05
773	2.43600000000000e-05
774	2.27200000000000e-05
775	2.12000000000000e-05
776	1.97800000000000e-05
777	1.84500000000000e-05
778	1.72200000000000e-05
779	1.60600000000000e-05
780	1.49900000000000e-05
781	0
782	0
783	0
784	0
785	0
786	0
787	0
788	0
789	0
790	0
791	0
792	0
793	0
794	0
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	0
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	0
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	0
